name,artist_wiki_references,artist_wiki_links,artist_categories,artist_most_common_nationality
larry rivers ,46,61,"1923 births, 2002 deaths, 20th-century American Jews, 20th-century American LGBT people, 20th-century American male artists, 20th-century American painters, 20th-century American printmakers, 21st-century American Jews, All articles with unsourced statements, American expatriates in Mexico, American male painters, American pop artists, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KBR identifiers, Articles with LCCN identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from December 2021, Articles with unsourced statements from March 2015, Artists from the Bronx, Bisexual artists, Jewish American artists, Jewish painters, People from Manhattan, People from the Bronx, Short description is different from Wikidata",American
auguste borget ,11,7,"1808 births, 1877 deaths, 19th-century French male artists, 19th-century French painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, Commons category link is on Wikidata, French draughtsmen, French expatriates in China, French male painters, Hawaii artists, People from Issoudun, Short description is different from Wikidata",French
salvador dalí ,251,584,"1904 births, 1989 deaths, 20th-century Spanish painters, 20th-century Spanish sculptors, 20th-century male artists, All Wikipedia articles written in American English, All articles with dead external links, Articles containing French-language text, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with dead external links from January 2023, Articles with dead external links from March 2022, Articles with hCards, Articles with permanently dead external links, Articles with short description, Biography with signature, CS1 French-language sources (fr), CS1 Spanish-language sources (es), CS1 errors: generic name, Federico García Lorca, Francoists, Knights Grand Cross of the Order of Isabella the Catholic, Marquesses of Spain, Mathematical artists, Members of the Royal Academy of Belgium, Modern painters, Pages using Sister project links with hidden wikidata, Pages using Sister project links with wikidata namespace mismatch, Pages using Template:Post-nominals with customized linking, Painters from Catalonia, People from Figueres, Recipients of the Legion of Honour, Salvador Dalí, Short description is different from Wikidata, Spanish Roman Catholics, Spanish artists, Spanish erotic artists, Spanish illustrators, Spanish male painters, Spanish male sculptors, Spanish people of Arab descent, Spanish people of Jewish descent, Spanish printmakers, Spanish surrealist artists, Surrealist filmmakers, Use American English from April 2020, Use dmy dates from January 2022, Webarchive template archiveis links, Webarchive template wayback links, Wikipedia indefinitely semi-protected pages",Spanish
eugene boudin ,25,210,"1824 births, 1898 deaths, 19th-century French male artists, 19th-century French painters, All Wikipedia articles written in American English, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Commons category link is on Wikidata, French Impressionist painters, French landscape painters, French male painters, French marine artists, French people of Norman descent, People from Honfleur, Short description is different from Wikidata, Use American English from October 2013, Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference",French
alfred sisley ,36,182,"1839 births, 1899 deaths, 19th-century English painters, 19th-century French painters, Alfred Sisley, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Artists from Paris, British Impressionist painters, British alumni of the École des Beaux-Arts, CS1 French-language sources (fr), CS1 maint: bot: original URL status unknown, CS1 maint: url-status, Commons category link from Wikidata, Deaths from throat cancer, Deaths in France, English male painters, French Impressionist painters, French male painters, French people of English descent, Short description is different from Wikidata, Use dmy dates from November 2015",French
dante gabriel rossetti ,70,285,"1828 births, 1882 deaths, 19th-century English painters, 19th-century English poets, 19th-century English writers, All articles needing additional references, All articles with unsourced statements, Anglican poets, Articles incorporating Cite DNB template, Articles needing additional references from May 2017, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with Internet Archive links, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with LibriVox links, Articles with NGV identifiers, Articles with NLA identifiers, Articles with PIC identifiers, Articles with Project Gutenberg links, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, Articles with unsourced statements from December 2021, Artist authors, Artists' Rifles soldiers, British people of Italian descent, Burials in Kent, Deaths from nephritis, English Anglicans, English illustrators, English male novelists, English male painters, English male poets, English people of Italian descent, Morris & Co., Pages using Sister project links with hidden wikidata, Pages using Sister project links with wikidata namespace mismatch, Painters from London, People educated at King's College School, London, Polidori-Rossetti family, Pre-Raphaelite illustrators, Pre-Raphaelite painters, Pre-Raphaelite stained glass artists, Rossetti family, Short description is different from Wikidata, Sonneteers, Translators of Dante Alighieri, Use British English from February 2012, Use dmy dates from December 2020, Victorian poets, Writers who illustrated their own writing",English
george hyde pownall ,12,17,"1866 births, 1939 deaths, Articles with Musée d'Orsay identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with short description, British male conductors (music), Commons category link is on Wikidata, English artists, English classical pianists, English conductors (music), English emigrants to Australia, English tenors, People from Radcliffe-on-Trent, Short description is different from Wikidata",English
roy lichtenstein ,159,403,"1923 births, 1997 deaths, 20th-century American Jews, 20th-century American male artists, 20th-century American painters, 20th-century American printmakers, Abstract painters, All articles with unsourced statements, American male painters, American pop artists, Art Students League of New York alumni, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KBR identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with NARA identifiers, Articles with NDL identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NLK identifiers, Articles with NSK identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with PLWABN identifiers, Articles with PortugalA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from November 2020, Commons category link is on Wikidata, Deaths from pneumonia in New York City, Honorary Members of the Royal Academy, Jewish American artists, Jewish painters, Kyoto laureates in Arts and Philosophy, Members of the American Academy of Arts and Letters, Military personnel from New York City, Ohio State University College of Arts and Sciences alumni, Painters from New York City, People from the Upper West Side, Roy Lichtenstein, Short description is different from Wikidata, State University of New York at Oswego faculty, United States Army personnel of World War II, United States Army soldiers, United States National Medal of Arts recipients, Use mdy dates from February 2023, Webarchive template wayback links, Wikipedia semi-protected pages",American
thomas rowlandson ,64,68,"1757 births, 1827 deaths, 18th-century English male artists, 19th-century English male artists, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with Internet Archive links, Articles with J9U identifiers, Articles with KBR identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with PLWABN identifiers, Articles with PortugalA identifiers, Articles with Project Gutenberg links, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, British erotic artists, Commons link is defined as the pagename, English caricaturists, English cartoonists, English illustrators, English satirists, English watercolourists, EngvarB from August 2014, Harv and Sfn no-target errors, People from the City of London, Short description is different from Wikidata, Use dmy dates from August 2014, Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference, Wikipedia articles incorporating a citation from the ODNB, Wikipedia articles incorporating text from the 1911 Encyclopædia Britannica",English
francis newton souza ,65,89,"1924 births, 2002 deaths, 20th-century Indian male artists, 20th-century Indian painters, 21st-century Indian male artists, All Wikipedia articles written in Indian English, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Commons category link is on Wikidata, Indian Expressionist painters, Indian Roman Catholics, Indian emigrants to the United Kingdom, Indian emigrants to the United States, Indian erotic artists, Indian male painters, Pages using infobox person with multiple partners, Painters from Goa, People from North Goa district, Short description is different from Wikidata, Sir Jamsetjee Jeejebhoy School of Art alumni, St. Xavier's College, Mumbai alumni, Use Indian English from November 2015, Use dmy dates from November 2015, Webarchive template wayback links",Indian
zhu qizhan ,34,54,"1892 births, 1996 deaths, Articles containing Chinese-language text, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with NLK identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Suzhou, CS1 Chinese-language sources (zh), Chinese centenarians, Men centenarians, No local image but image on Wikidata, People from Taicang, Short description is different from Wikidata",Chinese
hans hofmann ,78,116,"1880 births, 1966 deaths, 20th-century American male artists, 20th-century American painters, 20th-century German painters, Abstract expressionist artists, Abstract painters, American male painters, Art Students League of New York faculty, Articles with AAG identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with Musée d'Orsay identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with PIC identifiers, Articles with PLWABN identifiers, Articles with PortugalA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, CS1 Bulgarian-language sources (bg), CS1 maint: url-status, German emigrants to the United States, German male painters, Members of the American Academy of Arts and Letters, Modern painters, Painters from New York City, People from Greenwich Village, People from Provincetown, Massachusetts, People from Weißenburg in Bayern, People from the Kingdom of Bavaria, Short description is different from Wikidata, University of California, Berkeley staff, Webarchive template wayback links",American
willem roelofs ,15,27,"1822 births, 1897 deaths, 19th-century Dutch male artists, 19th-century Dutch painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with BPN identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, Commons category link from Wikidata, Dutch male painters, Hague School, Painters from Amsterdam, Short description is different from Wikidata",Dutch
tom wesselmann ,35,88,"1931 births, 2004 deaths, 20th-century American painters, 21st-century American painters, 21st-century male artists, American male painters, American pop artists, American printmakers, Art Academy of Cincinnati alumni, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with NDL identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Cincinnati, CS1 German-language sources (de), Cooper Union alumni, Hiram College alumni, Short description is different from Wikidata, United States Army soldiers, Wikipedia articles needing clarification from April 2014",American
robert mangold ,34,50,"1937 births, 20th-century American male artists, 20th-century American painters, 20th-century American printmakers, 21st-century American painters, All BLP articles lacking sources, American abstract artists, American male painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with NKC identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, BLP articles lacking sources from October 2020, Cleveland Institute of Art alumni, Living people, Members of the American Academy of Arts and Letters, Minimalist artists, Pages using infobox person with multiple spouses, People from North Tonawanda, New York, People from Washingtonville, New York, Short description matches Wikidata, Use mdy dates from May 2012, Yale School of Art alumni",American
marino marini ,60,52,"1901 births, 1980 deaths, 20th-century Italian male artists, 20th-century Italian sculptors, Academic staff of Brera Academy, Articles with AGSA identifiers, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DBI identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with NDL identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NSK identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with PLWABN identifiers, Articles with PortugalA identifiers, Articles with RKDartists identifiers, Articles with SIKART identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, CS1 Italian-language sources (it), CS1 Japanese-language sources (ja), Commons category link from Wikidata, Italian male sculptors, Modern sculptors, People from Pistoia, Recipients of the Pour le Mérite (civil class), Short description is different from Wikidata, Use dmy dates from June 2021, Webarchive template wayback links",Italian
kees maks ,11,12,"1876 births, 1967 deaths, 20th-century Dutch male artists, 20th-century Dutch painters, All stub articles, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with BPN identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, Commons category link is on Wikidata, Dutch male painters, Dutch painter stubs, Olympic competitors in art competitions, Painters from Amsterdam, Short description is different from Wikidata",Dutch
andreas schelfhout ,16,47,"1787 births, 1870 deaths, 19th-century Dutch male artists, 19th-century Dutch painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with BPN identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Artists from The Hague, Commons category link is on Wikidata, Dutch landscape painters, Dutch male painters, Hague School, Short description is different from Wikidata",Dutch
zao wou-ki,32,51,"1920 births, 2013 deaths, 20th-century Chinese painters, 20th-century French engravers, 20th-century French lithographers, 20th-century French male artists, 20th-century French painters, 20th-century French printmakers, 21st-century Chinese painters, 21st-century French engravers, 21st-century French lithographers, 21st-century French male artists, 21st-century French painters, Alumni of the Académie de la Grande Chaumière, Art Informel and Tachisme painters, Articles containing Chinese-language text, Articles with AAG identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with Chinese-language sources (zh), Articles with DTBIO identifiers, Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Biography articles needing translation from French Wikipedia, Burials at Montparnasse Cemetery, CS1 French-language sources (fr), CS1 errors: missing title, China Academy of Art alumni, Chinese emigrants to France, French male painters, French stamp designers, Grand Officiers of the Légion d'honneur, Members of the Académie des beaux-arts, Pages using infobox person with multiple spouses, Painters from Beijing, Recipients of the Praemium Imperiale, Republic of China painters, School of Paris, Short description is different from Wikidata, Use dmy dates from September 2019",French
jean cocteau ,66,316,"1889 births, 1963 deaths, 20th-century French dramatists and playwrights, 20th-century French painters, 20th-century French screenwriters, 20th-century male artists, All articles lacking reliable references, All articles with unsourced statements, Articles lacking reliable references from March 2019, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with Curlie links, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with Internet Archive links, Articles with LCCN identifiers, Articles with LibriVox links, Articles with NGV identifiers, Articles with NLA identifiers, Articles with PIC identifiers, Articles with Project Gutenberg links, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from September 2010, Biography with signature, CS1: long volume value, CS1 French-language sources (fr), Christian novelists, Christian poets, Commandeurs of the Légion d'honneur, Commons category link from Wikidata, French LGBT dramatists and playwrights, French LGBT novelists, French LGBT poets, French LGBT screenwriters, French Roman Catholics, French ballet librettists, French experimental filmmakers, French fantasy writers, French film directors, French gay writers, French illustrators, French male painters, French male screenwriters, French novelists, French poets, French screenwriters, French stamp designers, French surrealist artists, IBDB name template using Wikidata, Jean Cocteau, LGBT Roman Catholics, LGBT film directors, Les Six, Lycée Condorcet alumni, Members of the Académie Française, Members of the Académie royale de langue et de littérature françaises de Belgique, Painters of the Return to Order, People from Maisons-Laffitte, Prince des poètes, Short description is different from Wikidata, Surrealist filmmakers, Use dmy dates from October 2021, Writers from Île-de-France",French
ding yanyong ,7,14,"All articles with a promotional tone, All articles with dead external links, All articles with peacock terms, All articles with style issues, Articles containing Chinese-language text, Articles with a promotional tone from June 2022, Articles with dead external links from November 2018, Articles with multiple maintenance issues, Articles with peacock terms from June 2022, Articles with permanently dead external links, Articles with short description, Hong Kong painters, Hong Kong women artists, Living people, Short description matches Wikidata, Wikipedia articles with style issues from June 2022, Year of birth missing (living people)",
eugene brands ,13,5,"1913 births, 2002 deaths, 20th-century Dutch male artists, 20th-century Dutch painters, All stub articles, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with BPN identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, CS1 Dutch-language sources (nl), Dutch male painters, Dutch painter stubs, Painters from Amsterdam, Short description is different from Wikidata",Dutch
thomas luny ,15,28,"1759 births, 1837 deaths, 18th-century English male artists, 18th-century English painters, 19th-century English male artists, 19th-century English painters, Articles with AAG identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with short description, British marine artists, Commons category link from Wikidata, English male painters, People from St Ewe, Short description is different from Wikidata, Use British English from September 2013, Use dmy dates from September 2013",English
jean fautrier ,20,29,"1898 births, 1964 deaths, 20th-century French male artists, 20th-century French painters, Abstract painters, Art Informel and Tachisme painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, French abstract artists, French male painters, Modern artists, School of Paris, Short description is different from Wikidata",French
rudolf stingel ,48,31,"1956 births, American conceptual artists, American people of Austrian descent, American people of Italian descent, Articles with AAG identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with short description, Germanophone Italian people, Italian conceptual artists, Italian contemporary artists, Living people, People from Merano, Short description is different from Wikidata, Webarchive template wayback links",Italian
paul gauguin ,144,459,"1848 births, 1903 deaths, 19th-century French painters, 19th-century French sculptors, 19th-century French writers, 20th-century French painters, 20th-century French sculptors, 20th-century French writers, 20th-century ceramists, 20th-century male artists, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with Internet Archive links, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with Project Gutenberg links, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Artists from Paris, CS1: Julian–Gregorian uncertainty, CS1 French-language sources (fr), Commons category link from Wikidata, Death in French Polynesia, Deaths from syphilis, Fauvism, French ceramists, French male painters, French male sculptors, French people of Peruvian descent, French printmakers, French sailors, French stockbrokers, Pages using infobox person with multiple spouses, Paul Gauguin, Pont-Aven painters, Post-impressionist painters, Short description is different from Wikidata, Use dmy dates from August 2022, Wikipedia articles needing clarification from February 2015",French
raymond pettibon ,52,191,"1957 births, American contemporary artists, American printmakers, Art in Greater Los Angeles, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NKC identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from California, Artists from Tucson, Arizona, Black Flag (band) members, Hardcore punk musicians, Living people, Short description matches Wikidata, Unknown Instructors members",American
leonora carrington ,100,689,"1917 births, 2011 deaths, 20th-century English women artists, 20th-century Mexican novelists, 20th-century Mexican painters, 20th-century Mexican women writers, 21st-century English women artists, 21st-century Mexican painters, All articles with dead external links, Alumni of Chelsea College of Arts, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with dead external links from June 2021, Articles with hCards, Articles with short description, British emigrants to Mexico, British surrealist artists, British surrealist writers, British women's rights activists, CS1 Spanish-language sources (es), CS1 errors: missing periodical, Commons category link from Wikidata, English contemporary artists, English people of Irish descent, English women painters, EngvarB from August 2014, Mexican people of Irish descent, Mexican surrealist writers, Mexican women's rights activists, Mexican women novelists, Mexican women painters, Officers of the Order of the British Empire, Pages using infobox person with multiple spouses, People educated at New Hall School, People from Chorley, People from Clayton-le-Woods, Short description is different from Wikidata, Use dmy dates from June 2021, Webarchive template wayback links, Weird fiction writers, Wikipedia articles incorporating a citation from the ODNB, Women surrealist artists",Mexican
jean-michel basquiat ,301,380,"1960 births, 1988 deaths, 20th-century American businesspeople, 20th-century American musicians, 20th-century American painters, 20th-century Haitian painters, African-American Catholics, African-American contemporary artists, African-American painters, African-American rock musicians, All Wikipedia articles written in American English, American contemporary artists, American contemporary painters, American experimental musicians, American graffiti artists, American hip hop record producers, American male painters, American musicians of Puerto Rican descent, American people of Haitian descent, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KBR identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NDL identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NSK identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Brooklyn, Artists from New York (state), Burials at Green-Wood Cemetery, CS1 French-language sources (fr), CS1 Italian-language sources (it), CS1 maint: postscript, Commons category link from Wikidata, Deaths by heroin overdose in New York (state), Drug-related deaths in New York City, Edward R. Murrow High School alumni, Good articles, Haitian male painters, Haitian painters, Hispanic and Latino American artists, Jean-Michel Basquiat, Musicians from Brooklyn, Neo-expressionist artists, Pages containing links to subscription-only content, Painters from New York City, People associated with The Factory, People from Manhattan, People from Park Slope, People from SoHo, Manhattan, Puerto Rican painters, Record producers from New York (state), Saint Ann's School (Brooklyn) alumni, Self-taught artists, Short description matches Wikidata, Use American English from March 2022, Use mdy dates from December 2022, Webarchive template wayback links",American
